"Gene","F_Statistics","P_Value","R_squared","Slope_value","Slope_direction"
"DDX11L1",0.568043679884356,0.686620040268679,0.0301861176192066,0.0176100972574662,"positive"
"WASH7P",1.21088179110182,0.313583973398238,0.0622213219369881,-0.015557943109697,"negative"
"MIR6859-1",1.13861487752855,0.345183617008814,0.058725952561377,-0.00972665826811784,"negative"
"MIR1302-2HG",1.18227108540373,0.32578613972052,0.0608406027379773,0.0708113145429294,"positive"
"FAM138A",3.64218186193295,0.00922817151473409,0.166369066587471,-0.160417683352841,"negative"
"OR4F5",1.95566008777426,0.110329244124428,0.0967877356779631,-0.111216300278621,"negative"
"LOC100996442",0.826299602038517,0.512683687822638,0.0433155076863134,-0.0985036613897494,"negative"
"LOC729737",0.636883393815584,0.637833305104738,0.0337209364052159,-0.0408438169843123,"negative"
"DDX11L17",0.647629211751574,0.630344113716643,0.0342703946878608,0.0331347583386378,"positive"
"WASH9P",1.8701455145223,0.124819963936778,0.0929489060192168,-0.0286129662668771,"negative"
"MIR6859-2",0.976108231094653,0.425967654810135,0.0507699332263187,-0.0321942232440193,"negative"
"LOC112268260",0.317983693861416,0.86507788888573,0.0171253755444939,-0.040868030278266,"negative"
"OR4F29",0.779266382010108,0.54226304014645,0.0409509419000414,0.0306338881277132,"positive"
"LOC100132287",1.95397176276475,0.110598997741571,0.0967122596343091,-0.00976721231481985,"negative"
"LOC105378947",0.236577125695403,0.916836049497401,0.0127972379141281,0.0232791006347697,"positive"
"LOC101928626",1.3244780966668,0.268965737619387,0.067663520331218,-0.112038986514709,"negative"
"MIR12136",0.253676461952882,0.906531809063757,0.0137095167262835,0.0743993517503536,"positive"
"OR4F16",0.678183381161608,0.609271611733277,0.0358292905084898,-0.00806677528778858,"negative"
"LOC100288069",1.12488294347163,0.351482642952741,0.0580588252715434,-0.0977135297812586,"negative"
"LINC01409",4.72655473414298,0.00190128882400723,0.205712074278889,-0.0858367117411254,"negative"
"FAM87B",4.44345236461339,0.00286227921370427,0.195803278109513,0.0439507479552618,"positive"
"LINC00115",4.78806472529608,0.00174020955527086,0.207832766440609,-0.0303014332766439,"negative"
"LINC01128",2.40701683761034,0.0570876118623745,0.116522964401514,0.0999655270349314,"positive"
"LOC107984850",2.14496332387643,0.0837994138267047,0.105171227317939,0.0147549361422789,"positive"
"FAM41C",1.44229157421883,0.228738435820455,0.0732414289511679,-0.0366918299152298,"negative"
"LOC284600",0.783943572026294,0.539273617536409,0.0411866079701127,-0.0963198004412868,"negative"
"LINC02593",1.39671755517806,0.243607044490559,0.0710916493432227,0.0646204583110695,"positive"
"LOC107985728",2.36060619818935,0.0611154993789858,0.11453356468461,0.0802164049148185,"positive"
"SAMD11",4.06592976720773,0.00495818994465027,0.182198537530013,-0.0165088469490899,"negative"
"NOC2L",1.03967569825313,0.392729208581204,0.0538980392680878,0.00899639374088831,"positive"
"KLHL17",0.98114184947382,0.423258033620427,0.0510183876315522,-0.0503039926209276,"negative"
"PLEKHN1",0.299213342814809,0.877558567449088,0.0161307834076269,0.0198898705747146,"positive"
"PERM1",0.276351161155425,0.892359239909837,0.0149166535143119,-0.0387519983351433,"negative"
"HES4",1.01888480403829,0.403366495391328,0.0528772066676511,-0.0516615047470602,"negative"
"ISG15",2.63886810768169,0.0405733878505164,0.126328918066713,0.211213890404764,"positive"
"AGRN",2.79190833893113,0.0323682288654145,0.132683228819395,0.0174072351319721,"positive"
"LOC100288175",1.82413390404854,0.133354543093972,0.0908698682975632,0.0768195898131206,"positive"
"LOC105378948",1.21335701183484,0.312547022586451,0.0623405824132524,0.0885094140534823,"positive"
"C1orf159",1.78959049990469,0.140125025488086,0.089302747973478,-0.0827455617914548,"negative"
"LINC01342",0.167343216157133,0.95432979873527,0.0090861756873992,-0.0361916495028847,"negative"
"MIR200B",0.772034240719926,0.546905836246401,0.040586313269653,0.0469653638696664,"positive"
"MIR200A",0.407695882003537,0.802535428991543,0.0218513520952383,-0.00777967048388633,"negative"
"MIR429",1.07055725747081,0.377346414195995,0.0554102680996354,-0.00172005378297171,"negative"
