"Gene","F_Statistics","P_Value","R_squared","Slope_value","Slope_direction"
"DDX11L1",2.92438935072029,0.0348465779166526,0.0397383800285372,0.0121191030894152,"positive"
"WASH7P",1.70997002350206,0.16597989276818,0.0236259945432685,0.0961464255992359,"positive"
"MIR6859-1",1.74831112245372,0.15817951847429,0.0241429490946607,0.0433314387131109,"positive"
"MIR1302-2HG",3.17475917581571,0.0251143293940581,0.0429942832169583,-0.0164744316066992,"negative"
"MIR1302-2",0.794084406464785,0.498391787947596,0.0111121754885019,-0.00883982831931978,"negative"
"FAM138A",5.97524875781925,0.000628313554860675,0.077963197092935,0.000773062800925555,"positive"
"LOC100996442",1.46018002599228,0.226436898314676,0.0202446119988343,0.0548150248871355,"positive"
"LOC729737",1.74750517342701,0.158339830913314,0.0241320880847175,0.318892362917601,"positive"
"DDX11L17",1.41356105588311,0.239792902208782,0.0196109404832095,0.0118992148530163,"positive"
"WASH9P",2.34217520963615,0.0742014693002679,0.0320807062465728,0.102987687957004,"positive"
"MIR6859-2",2.41293739087078,0.0677268101749744,0.0330179319112213,0.00679127557505145,"positive"
"LOC112268260",1.41598558600013,0.239080634040209,0.0196439162787291,-0.0319816016262616,"negative"
"OR4F29",0.238269670403191,0.869602797304241,0.00336041018738806,-0.0247898646270188,"negative"
"LOC100132287",1.31602704053466,0.27012623107135,0.0182825478286179,0.229774444700775,"positive"
"LOC105378947",0.88199601643436,0.451248728105695,0.012327218753771,-0.048130963186244,"negative"
"MIR12136",1.48695296109257,0.219083242359418,0.0206081547781492,0.0351215146442917,"positive"
"OR4F16",3.3944153164372,0.0188267135627388,0.04583264550755,-0.0755748624727289,"negative"
"LOC100288069",3.00386209735435,0.0314097871786132,0.0407742709024965,0.163145039921065,"positive"
"LINC01409",2.52991251142904,0.0582163016079469,0.03456326155999,0.0051412272049687,"positive"
"FAM87B",1.02382165980445,0.382981060648255,0.0142811366431496,0.0375920403513233,"positive"
"LINC00115",1.20487829697107,0.308950509329195,0.0167643299943066,0.0296728641598474,"positive"
"LINC01128",2.34528484214975,0.0739046441327835,0.0321219306385277,0.0933088952736291,"positive"
"LOC107984850",0.358743220961248,0.78286275169197,0.0050509137719702,-0.0254159755298717,"negative"
"FAM41C",1.55045893363469,0.202524027929228,0.0214694079935552,-0.0809796989945984,"negative"
"LOC284600",2.44065347765704,0.0653443740663951,0.0333845293855508,0.07756915775181,"positive"
"LINC02593",8.72604486355421,1.74885120854834e-05,0.109909898470121,0.248153331664073,"positive"
"LOC107985728",5.99888556540601,0.000609101405938801,0.0782474708751449,0.198251405974449,"positive"
"SAMD11",5.4332913890877,0.00128177991681832,0.07139677245429,0.196435443815952,"positive"
"NOC2L",2.47644595864153,0.0623888084030231,0.0338575413289788,0.148983808152711,"positive"
"KLHL17",3.32567918509533,0.0206047225601397,0.0449462596003927,0.12280841412791,"positive"
"PLEKHN1",16.7378109239418,8.51587536392275e-10,0.191498323487952,0.160558048148368,"positive"
"PERM1",7.74921771095458,6.18639990101568e-05,0.0988220406166342,0.101697865405229,"positive"
"HES4",7.60171180155086,7.49325602123439e-05,0.0971236653974847,0.10546663081589,"positive"
"ISG15",1.02404706840544,0.382879993161915,0.0142842359219597,0.167845977822699,"positive"
"AGRN",5.30974619048484,0.00150831610940909,0.0698867713124079,0.33804583482221,"positive"
"LOC100288175",29.0571762579831,8.86696287403851e-16,0.291376419177291,0.0837991526733175,"positive"
"LOC105378948",26.1846479078436,1.8947453260195e-14,0.270359241099397,0.101177332749444,"positive"
"C1orf159",1.79441050241653,0.149263287269658,0.0247637845381375,0.169394000736438,"positive"
"LINC01342",1.35756437119139,0.256799997521348,0.0188487173223385,0.04634764809225,"positive"
"MIR200B",2.95950744276894,0.0332843335589472,0.0401964040447086,0.0275720580082605,"positive"
"MIR200A",4.10850095480565,0.00735382053240594,0.0549447241041805,0.0385943749745137,"positive"
"MIR429",5.66571951518567,0.000943911276367652,0.0742243207449038,0.0910842815533684,"positive"
"TTLL10-AS1",1.11563590235148,0.343686041079423,0.0155419353019333,0.000820065688524866,"positive"
"TTLL10",3.35467361837221,0.0198352528702676,0.0453203576894736,0.0081148243648814,"positive"
"TNFRSF18",8.86259449241446,1.46694430554415e-05,0.111438159530827,0.143046876183706,"positive"
"TNFRSF4",5.78960540878279,0.000801966854986596,0.0757244010415447,0.0537807172050214,"positive"
"SDF4",1.77818120162243,0.152346053372419,0.0245453093483654,0.107899177741519,"positive"
"B3GALT6",1.52394264195997,0.209290107802681,0.0211099844779653,0.0936782320514459,"positive"
"C1QTNF12",1.7363288680207,0.160578953941202,0.023981450701012,0.0188892909839872,"positive"
"UBE2J2",0.631043617412046,0.595727216175149,0.00885082585257948,0.0822752928649921,"positive"
"LINC01786",2.86092447726239,0.0378556878218026,0.0389095363081075,0.198790903397573,"positive"
"SCNN1D",2.82580356481294,0.0396296804637271,0.0384502460716383,0.343317728773503,"positive"
"ACAP3",2.99172526526291,0.0319120928019206,0.0406162174708846,0.234659757385419,"positive"
"SNORD167",2.01076227942066,0.113472375603871,0.0276669429364688,0.105711613776697,"positive"
"PUSL1",0.55109887223437,0.647936478365068,0.00773822188978037,0.0584594464938423,"positive"
"INTS11",1.45831452209431,0.226957776886089,0.0202192707444554,0.124514143580047,"positive"
"MIR6727",1.11076231386239,0.345679215504939,0.0154750919563267,-0.00510396692014666,"negative"
"CPTP",1.89077459809964,0.132153250664466,0.0260590032550913,0.213549117899052,"positive"
"TAS1R3",1.70111322057806,0.167833136496386,0.0235065000367365,0.101288356258334,"positive"
"DVL1",1.65361371111066,0.178112293740456,0.0228651451912621,0.15945774085807,"positive"
"MIR6808",0.309288851306368,0.8186610982114,0.00435765674515009,-0.00453294293422998,"negative"
"MXRA8",10.4334355393881,1.97228938926139e-06,0.128648858085029,0.316761093121624,"positive"
"AURKAIP1",0.427097468862936,0.733782621024941,0.0060075236422809,-0.0408345711391509,"negative"
"CCNL2",4.06988998055427,0.00773788575041822,0.0544564823847233,0.0502424099745302,"positive"
"MRPL20-AS1",0.434674956492072,0.728399645334841,0.00611345646325317,0.0579390524401576,"positive"
"MRPL20",3.59470928369329,0.0144689661679439,0.0484061766657296,-0.118995939756087,"negative"
"ANKRD65",8.9263414173767,1.35147063335194e-05,0.112149818586467,0.154978768053142,"positive"
"ANKRD65-AS1",2.98258176841813,0.0322957514416734,0.0404971107213268,-0.0178996670440344,"negative"
"LINC01770",1.08073903616361,0.358184253961933,0.015063109607613,0.0544294787982281,"positive"
"LOC107985729",1.60227483845117,0.189891913153234,0.0221710018865808,0.0994855079479015,"positive"
"VWA1",2.27568674209734,0.0808338192580259,0.0311984277412129,0.256151350118888,"positive"
"ATAD3C",5.43165576226784,0.00128454401644735,0.0713768134289723,-0.257489474183489,"negative"
"ATAD3B",0.783154065278563,0.504516239930571,0.0109608961541931,0.122526998197085,"positive"
"ATAD3A",0.933623941490514,0.425301751355222,0.0130393875996943,0.0797635560409502,"positive"
"TMEM240",4.50934221651333,0.00433402900897037,0.0599837938127393,0.113237888431415,"positive"
"SSU72",1.48187379181064,0.220460957516473,0.0205392067863588,-0.0400420011905022,"negative"
"FNDC10",1.19620812479754,0.312181622384033,0.0166457037555033,0.0804000236354697,"positive"
"LOC105378586",0.161633552337101,0.922068126723911,0.0022820475973209,0.0171689806821795,"positive"
"MIB2",0.652657426443342,0.582099117411517,0.00915120038983087,0.0912358002154967,"positive"
"MMP23B",6.38837217102929,0.000365342681717115,0.0829066115258909,0.151968137491103,"positive"
"CDK11B",2.67968887419956,0.0479323094459287,0.0365347242468854,0.137361925344495,"positive"
"SLC35E2B",2.58562670307568,0.0541597771867981,0.0352975529383726,0.105782250092158,"positive"
"MMP23A",6.04391944425563,0.000574114379984299,0.0787885968634918,0.11115776974708,"positive"
"CDK11A",2.7359624075793,0.0445493235639393,0.0372733571274661,0.139291438685814,"positive"
"SLC35E2A",0.441681870825496,0.723435089133586,0.00621139261295905,-0.00429352817824399,"negative"
"LOC112268218",0.384325425152161,0.764403941441817,0.00540914931427699,0.0816774181134526,"positive"
"NADK",2.65834633494695,0.0492804296379421,0.0362542906727947,0.133925127522239,"positive"
"GNB1",3.09768734472982,0.0277816997883061,0.0419943668760555,0.0577623615252619,"positive"
"GNB1-DT",2.09213063689899,0.102283910818056,0.0287543323203951,-0.0298745374719756,"negative"
"CALML6",0.720484838488674,0.540753033368494,0.0100926402482475,0.110771474250225,"positive"
"TMEM52",1.49324133720258,0.217388679201162,0.0206935038930831,-0.026155965576074,"negative"
"CFAP74",1.32878006118667,0.265968695339216,0.0184564458112126,0.0172001937888542,"positive"
"LOC107984872",0.815246782407119,0.486699776242423,0.0114049378796768,0.0306716740526389,"positive"
"LOC105378589",3.34880420625785,0.0199886806275747,0.0452446517837782,0.041039783678546,"positive"
"GABRD",6.4627521218526,0.000331408325753615,0.0837910128633639,-0.0523599362445174,"negative"
"LOC105378590",10.1294214218185,2.90158698580843e-06,0.125370196273922,0.443966346116588,"positive"
"PRKCZ-DT",1.13941877865495,0.334104688265983,0.0158679974209509,-0.0744081064906749,"negative"
"PRKCZ",2.02581546434845,0.111316951693811,0.027868294010064,0.147117055355497,"positive"
"PRKCZ-AS1",1.32589247282546,0.2669048876711,0.018417076551709,0.119761202653961,"positive"
"FAAP20",0.5510960082055,0.647938397207513,0.00773818198588179,0.0256016428020371,"positive"
"LOC112268219",1.98003195655949,0.117998418649424,0.027255635756123,0.11891793325788,"positive"
"LOC105378593",0.836737084900738,0.47504995287224,0.0117020594964669,-0.035014019535425,"negative"
"SKI",4.36688830163472,0.0052300899866231,0.0581991390849007,0.0138181538569664,"positive"
"MORN1",0.324797940368881,0.807434242257928,0.00457516889060902,0.0475293121218485,"positive"
"LOC100129534",2.39342622651617,0.0694547297665298,0.0327596931749795,0.0149954515182681,"positive"
"RER1",3.15363672391249,0.025819027550486,0.0427204519497404,-0.00460234400290058,"negative"
"PEX10",1.4015592545465,0.243347800979157,0.0194476724885489,0.00720204180612271,"positive"
"PLCH2",7.40585998248671,9.66782499762648e-05,0.0948587204788129,0.644185575928183,"positive"
"PANK4",1.67546999853162,0.173310392832686,0.0231603609703394,0.104623603957151,"positive"
"HES5",2.10902400642226,0.100098793907285,0.0289797868892247,0.0726604874422542,"positive"
"TNFRSF14-AS1",7.20289242881577,0.000125944211030406,0.0924994633651861,0.323043815748704,"positive"
"TNFRSF14",2.46143625569711,0.0636119406999606,0.033659238477857,0.161796134206782,"positive"
"LOC100996583",1.16787936175035,0.322951477307352,0.016257906903015,0.0292979659326564,"positive"
"PRXL2B",7.34514096706329,0.000104633012108748,0.0941542208783209,0.268072810868951,"positive"
"MMEL1",4.98867659297834,0.00230299938994433,0.0659395143560115,0.146691465008792,"positive"
"MMEL1-AS1",0.844753784265429,0.470761677280578,0.0118128514150416,0.0536597272721174,"positive"
"TTC34",0.665054045768238,0.57438018507152,0.00932339833002658,0.00747408897685182,"positive"
"LOC105378598",0.585913256714975,0.624861653056042,0.00822304620190611,-0.00452173736912427,"negative"
"PRDM16-DT",13.3156839948315,5.36960298446505e-08,0.158553361390206,0.0909484214653624,"positive"
"PRDM16",10.7450468277744,1.32929160946729e-06,0.131984039723081,0.0901943399021825,"positive"
"LOC107984909",0.719131287827548,0.541556676956423,0.0100738705517583,0.00773172730667898,"positive"
"LOC105378604",3.39828482211138,0.0187312790134909,0.0458824957527485,0.0063967575064746,"positive"
"ARHGEF16",6.87661803925743,0.000192819432072514,0.0886810258984564,0.381305809685082,"positive"
"MEGF6",5.93388426736321,0.000663410409491209,0.0774652948968161,0.147631977153766,"positive"
"LOC105378608",4.3789261195343,0.00514769182026709,0.0583502102782973,0.00190544584580116,"positive"
"TPRG1L",1.96722848120513,0.119935132667278,0.0270841661072995,0.0408022609902784,"positive"
"WRAP73",4.35044479623303,0.00534477868402315,0.0579926994174467,0.126155639282112,"positive"
"TP73",3.31669128522715,0.0208492096545817,0.044830234488461,0.160841333010445,"positive"
"TP73-AS3",2.72802137519103,0.045012065663422,0.0371691936838156,0.141497222315775,"positive"
"TP73-AS1",0.82086239013032,0.48363386447971,0.0114825956493495,0.0514367307572212,"positive"
"CCDC27",0.985741898033872,0.400388032322893,0.0137572751255636,-0.0407669652177544,"negative"
"SMIM1",4.6832041621139,0.00344569984470845,0.0621527828860605,-0.10809448627617,"negative"
"LRRC47",1.50243941168701,0.214932088258482,0.0208183181603472,0.040304310394155,"positive"
"CEP104",5.30749210602194,0.0015128023031673,0.0698591756955378,0.0837998802491491,"positive"
"DFFB",4.11521767035493,0.00728897882573929,0.0550296065262112,-0.137610331415895,"negative"
"C1orf174",2.5195335349951,0.0590042701494952,0.0344263471535975,-0.0304414545781207,"negative"
"LINC01134",0.933277344031383,0.425471708092669,0.0130346099696941,0.0990796836097761,"positive"
"AJAP1",5.47556186596468,0.00121237783380898,0.0719122879837709,-0.0282470055991519,"negative"
"LOC107984911",7.82462114665272,5.60954294251119e-05,0.0996877661793815,0.00397511008596179,"positive"
